p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
43,56,Tc,142.6836,44,55,Ru,397,0.00000000266373,0.00000000000000804707,0.0000000359004,0.000000000000107725,2026-07-09
43,56,Tc,142.6836,44,55,Ru,398,0.00000000255491,0.00000000000000772171,0.000000035942,0.00000000000010785,2026-07-09
43,56,Tc,142.6836,44,55,Ru,399,0.00000000244777,0.0000000000000074014,0.0000000359839,0.000000000000107976,2026-07-09
43,56,Tc,142.6836,44,55,Ru,400,0.00000000234236,0.0000000000000070863,0.0000000360262,0.000000000000108103,2026-07-09
43,56,Tc,142.6836,44,55,Ru,401,0.0000000022387,0.00000000000000677647,0.0000000360687,0.000000000000108231,2026-07-09
43,56,Tc,142.6836,44,55,Ru,402,0.00000000213683,0.00000000000000647202,0.0000000361117,0.00000000000010836,2026-07-09
43,56,Tc,142.6836,44,55,Ru,403,0.00000000203679,0.00000000000000617308,0.000000036155,0.00000000000010849,2026-07-09
43,56,Tc,142.6836,44,55,Ru,404,0.00000000193861,0.00000000000000587974,0.0000000361987,0.000000000000108621,2026-07-09
43,56,Tc,142.6836,44,55,Ru,405,0.00000000184235,0.00000000000000559218,0.0000000362427,0.000000000000108753,2026-07-09
43,56,Tc,142.6836,44,55,Ru,406,0.00000000174803,0.00000000000000531046,0.0000000362872,0.000000000000108887,2026-07-09
43,56,Tc,142.6836,44,55,Ru,407,0.00000000165569,0.00000000000000503469,0.000000036332,0.000000000000109021,2026-07-09
43,56,Tc,142.6836,44,55,Ru,408,0.00000000156538,0.00000000000000476503,0.0000000363772,0.000000000000109157,2026-07-09
43,56,Tc,142.6836,44,55,Ru,409,0.00000000147713,0.00000000000000450157,0.0000000364228,0.000000000000109294,2026-07-09
43,56,Tc,142.6836,44,55,Ru,410,0.00000000139099,0.00000000000000424446,0.0000000364688,0.000000000000109432,2026-07-09
43,56,Tc,142.6836,44,55,Ru,411,0.00000000130699,0.00000000000000399379,0.0000000365151,0.000000000000109571,2026-07-09
43,56,Tc,142.6836,44,55,Ru,412,0.00000000122517,0.00000000000000374968,0.0000000365618,0.000000000000109711,2026-07-09
43,56,Tc,142.6836,44,55,Ru,413,0.00000000114558,0.00000000000000351227,0.0000000366089,0.000000000000109853,2026-07-09
43,56,Tc,142.6836,44,55,Ru,414,0.00000000106827,0.00000000000000328173,0.0000000366563,0.000000000000109995,2026-07-09
43,56,Tc,142.6836,44,55,Ru,415,0.000000000993258,0.00000000000000305809,0.000000036704,0.000000000000110138,2026-07-09
43,56,Tc,142.6836,44,55,Ru,416,0.000000000920604,0.00000000000000284155,0.000000036752,0.000000000000110282,2026-07-09
43,56,Tc,142.6836,44,55,Ru,417,0.000000000850346,0.00000000000000263221,0.0000000368002,0.000000000000110427,2026-07-09
43,56,Tc,142.6836,44,55,Ru,418,0.000000000782527,0.0000000000000024302,0.0000000368487,0.000000000000110573,2026-07-09
43,56,Tc,142.6836,44,55,Ru,419,0.000000000717192,0.00000000000000223566,0.0000000368973,0.000000000000110718,2026-07-09
43,56,Tc,142.6836,44,55,Ru,420,0.000000000654385,0.00000000000000204871,0.000000036946,0.000000000000110865,2026-07-09
43,56,Tc,142.6836,44,55,Ru,421,0.000000000594148,0.00000000000000186949,0.0000000369947,0.000000000000111011,2026-07-09
43,56,Tc,142.6836,44,55,Ru,422,0.000000000536529,0.00000000000000169812,0.0000000370433,0.000000000000111156,2026-07-09
43,56,Tc,142.6836,44,55,Ru,423,0.000000000481571,0.00000000000000153473,0.0000000370918,0.000000000000111302,2026-07-09
43,56,Tc,142.6836,44,55,Ru,424,0.00000000042932,0.00000000000000137945,0.00000003714,0.000000000000111446,2026-07-09
43,56,Tc,142.6836,44,55,Ru,425,0.000000000379823,0.00000000000000123242,0.0000000371877,0.000000000000111589,2026-07-09
43,56,Tc,142.6836,44,55,Ru,426,0.000000000333125,0.00000000000000109375,0.0000000372348,0.000000000000111731,2026-07-09
43,56,Tc,142.6836,44,55,Ru,427,0.000000000289273,9.63557e-16,0.0000000372811,0.000000000000111869,2026-07-09
43,56,Tc,142.6836,44,55,Ru,428,0.000000000248315,8.41963e-16,0.0000000373262,0.000000000000112004,2026-07-09
43,56,Tc,142.6836,44,55,Ru,429,0.000000000210297,7.2906e-16,0.0000000373699,0.000000000000112135,2026-07-09
43,56,Tc,142.6836,44,55,Ru,430,0.000000000175268,6.24934e-16,0.0000000374118,0.00000000000011226,2026-07-09
