p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
53,78,I,0,54,77,Xe,302,0.00161395,0.0000127908,0.0020774,0.0000137561,2026-07-09
53,78,I,0,54,77,Xe,304,0.00159912,0.0000126842,0.00204543,0.0000138723,2026-07-09
53,78,I,0,54,77,Xe,306,0.00158432,0.0000125773,0.00206201,0.0000139882,2026-07-09
53,78,I,0,54,77,Xe,308,0.00156957,0.0000124703,0.00207852,0.0000141037,2026-07-09
53,78,I,0,54,77,Xe,310,0.00155484,0.0000123631,0.00209495,0.0000142187,2026-07-09
53,78,I,0,54,77,Xe,312,0.00154016,0.0000122557,0.0021113,0.0000143333,2026-07-09
53,78,I,0,54,77,Xe,314,0.00152552,0.0000121481,0.00212758,0.0000144475,2026-07-09
53,78,I,0,54,77,Xe,316,0.00151091,0.0000120404,0.00214376,0.0000145612,2026-07-09
53,78,I,0,54,77,Xe,318,0.00149637,0.0000119325,0.00215986,0.0000146745,2026-07-09
53,78,I,0,54,77,Xe,320,0.00148186,0.0000118245,0.00217585,0.0000147873,2026-07-09
53,78,I,0,54,77,Xe,322,0.00146741,0.0000117163,0.00219174,0.0000148996,2026-07-09
53,78,I,0,54,77,Xe,324,0.00145301,0.0000116081,0.00220751,0.0000150114,2026-07-09
53,78,I,0,54,77,Xe,326,0.00143867,0.0000114997,0.00222312,0.0000151226,2026-07-09
53,78,I,0,54,77,Xe,328,0.00142439,0.0000113912,0.00223851,0.0000152334,2026-07-09
53,78,I,0,54,77,Xe,330,0.00141016,0.0000112827,0.00225347,0.0000153435,2026-07-09
53,78,I,0,54,77,Xe,332,0.00139601,0.0000111741,0.00226919,0.0000154606,2026-07-09
53,78,I,0,54,77,Xe,334,0.00138191,0.0000110654,0.00179633,0.0000155533,2026-07-09
53,78,I,0,54,77,Xe,336,0.00136784,0.0000109568,0.00180914,0.0000156619,2026-07-09
53,78,I,0,54,77,Xe,338,0.00135374,0.0000108481,0.00182188,0.0000157699,2026-07-09
53,78,I,0,54,77,Xe,340,0.00133963,0.0000107393,0.00183456,0.0000158774,2026-07-09
53,78,I,0,54,77,Xe,342,0.0013255,0.0000106306,0.00184718,0.0000159844,2026-07-09
53,78,I,0,54,77,Xe,344,0.00131136,0.0000105218,0.00185975,0.0000160907,2026-07-09
53,78,I,0,54,77,Xe,346,0.0012972,0.0000104131,0.00187224,0.0000161965,2026-07-09
53,78,I,0,54,77,Xe,348,0.00128304,0.0000103045,0.00188466,0.0000163015,2026-07-09
53,78,I,0,54,77,Xe,350,0.00126887,0.0000101959,0.00189702,0.0000164061,2026-07-09
53,78,I,0,54,77,Xe,352,0.00125469,0.0000100874,0.00190931,0.0000165099,2026-07-09
53,78,I,0,54,77,Xe,354,0.0012405,0.00000997883,0.00192154,0.0000166132,2026-07-09
53,78,I,0,54,77,Xe,356,0.0012263,0.00000987043,0.00193369,0.0000167158,2026-07-09
53,78,I,0,54,77,Xe,358,0.00121211,0.00000976215,0.00194577,0.0000168177,2026-07-09
53,78,I,0,54,77,Xe,360,0.00119791,0.000009654,0.00195778,0.000016919,2026-07-09
53,78,I,0,54,77,Xe,362,0.00118371,0.0000095459,0.00196972,0.0000170196,2026-07-09
53,78,I,0,54,77,Xe,364,0.00116951,0.00000943802,0.00198159,0.0000171196,2026-07-09
53,78,I,0,54,77,Xe,366,0.00115531,0.00000933026,0.00199338,0.0000172189,2026-07-09
53,78,I,0,54,77,Xe,368,0.00114112,0.00000922263,0.00200509,0.0000173174,2026-07-09
53,78,I,0,54,77,Xe,370,0.00112693,0.00000911522,0.00201673,0.0000174152,2026-07-09
53,78,I,0,54,77,Xe,372,0.00111276,0.00000900802,0.0020283,0.0000175124,2026-07-09
53,78,I,0,54,77,Xe,374,0.00109859,0.00000890103,0.00203978,0.0000176089,2026-07-09
53,78,I,0,54,77,Xe,376,0.00108443,0.00000879418,0.00205118,0.0000177045,2026-07-09
53,78,I,0,54,77,Xe,378,0.00107028,0.00000868762,0.0020625,0.0000177995,2026-07-09
53,78,I,0,54,77,Xe,380,0.00105614,0.00000858128,0.00207374,0.0000178937,2026-07-09
53,78,I,0,54,77,Xe,382,0.00104203,0.00000847523,0.0020849,0.0000179872,2026-07-09
53,78,I,0,54,77,Xe,384,0.00102793,0.00000836949,0.00209598,0.00001808,2026-07-09
53,78,I,0,54,77,Xe,386,0.00101384,0.00000826396,0.00210697,0.0000181719,2026-07-09
53,78,I,0,54,77,Xe,388,0.000999779,0.00000815875,0.00211787,0.0000182631,2026-07-09
53,78,I,0,54,77,Xe,390,0.000985737,0.00000805385,0.0021287,0.0000183535,2026-07-09
53,78,I,0,54,77,Xe,392,0.000971718,0.00000794928,0.00213943,0.0000184431,2026-07-09
53,78,I,0,54,77,Xe,394,0.000957725,0.00000784505,0.00215007,0.0000185319,2026-07-09
53,78,I,0,54,77,Xe,396,0.000943758,0.00000774118,0.00216064,0.00001862,2026-07-09
53,78,I,0,54,77,Xe,398,0.00092982,0.00000763767,0.00217111,0.0000187072,2026-07-09
53,78,I,0,54,77,Xe,400,0.000915912,0.00000753455,0.00218149,0.0000187937,2026-07-09
53,78,I,0,54,77,Xe,402,0.000902035,0.00000743181,0.00219178,0.0000188793,2026-07-09
53,78,I,0,54,77,Xe,404,0.000888193,0.00000732949,0.00220198,0.000018964,2026-07-09
53,78,I,0,54,77,Xe,406,0.000874386,0.00000722759,0.00221209,0.000019048,2026-07-09
53,78,I,0,54,77,Xe,408,0.000860614,0.00000712612,0.00222211,0.0000191312,2026-07-09
53,78,I,0,54,77,Xe,410,0.000846882,0.0000070251,0.00223202,0.0000192134,2026-07-09
53,78,I,0,54,77,Xe,412,0.000833191,0.00000692454,0.00224185,0.0000192948,2026-07-09
53,78,I,0,54,77,Xe,414,0.000819541,0.00000682445,0.00225158,0.0000193754,2026-07-09
53,78,I,0,54,77,Xe,416,0.000805936,0.00000672485,0.00226122,0.0000194551,2026-07-09
53,78,I,0,54,77,Xe,418,0.000792376,0.00000662576,0.00227076,0.000019534,2026-07-09
53,78,I,0,54,77,Xe,420,0.000778863,0.00000652717,0.00228021,0.000019612,2026-07-09
53,78,I,0,54,77,Xe,422,0.0007654,0.00000642912,0.00228955,0.0000196891,2026-07-09
