nuclide	particle	radiation_code	shell	energy_keV	energy_MeV	yield_per_decay	intensity_percent	source
I-131	gamma	G		4.54	0.00454	0.00604015790742	0.604015790742	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		29.458	0.029458	0.0144603676184	1.44603676184	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		29.778	0.029778	0.0267883801748	2.67883801748	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		33.726	0.033726	0.00776584434586	0.776584434586	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		34.03	0.03403	0.00959858361148	0.959858361148	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		34.414	0.034414	0.00183273926562	0.183273926562	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		80.185	0.080185	0.0261615	2.61615	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		85.9	0.0859	8.965e-07	8.965e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		163.93	0.16393	0.000211085	0.0211085	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		177.214	0.177214	0.0026895	0.26895	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		232.18	0.23218	3.1785e-05	0.0031785	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		272.498	0.272498	0.000576205	0.0576205	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		284.305	0.284305	0.0612065	6.12065	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		295.8	0.2958	1.793e-05	0.001793	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		302.4	0.3024	4.727e-05	0.004727	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		318.088	0.318088	0.00077425	0.077425	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		324.651	0.324651	0.0002119	0.02119	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		325.789	0.325789	0.00273025	0.273025	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		358.4	0.3584	0.000163	0.0163	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		364.489	0.364489	0.815	81.5	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		404.814	0.404814	0.00054605	0.054605	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		449.6	0.4496	7.335e-05	0.007335	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		503.004	0.503004	0.00359415	0.359415	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		636.989	0.636989	0.071557	7.1557	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		642.719	0.642719	0.0021679	0.21679	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	gamma	G		722.911	0.722911	0.0176855	1.76855	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	L	4.54	0.00454	0.00604015790742	0.604015790742	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	KA2	29.458	0.029458	0.0144603676184	1.44603676184	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	KA1	29.778	0.029778	0.0267883801748	2.67883801748	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	KpB1	33.726	0.033726	0.00776584434586	0.776584434586	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	KB	34.03	0.03403	0.00959858361148	0.959858361148	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	xray	X	KpB2	34.414	0.034414	0.00183273926562	0.183273926562	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
