nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
Tc-99m	beta-	143	0.143	1.2375e-07	0.00012375	0.000000000000468423	6.9374e-08	0.000000000000266647	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	144	0.144	1.23098e-07	0.000123098	0.000000000000465453	7.01044e-08	0.000000000000269605	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	145	0.145	1.22446e-07	0.000122446	0.000000000000462479	7.08354e-08	0.000000000000272569	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	146	0.146	1.21792e-07	0.000121792	0.000000000000459502	7.15671e-08	0.000000000000275538	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	147	0.147	1.21137e-07	0.000121137	0.000000000000456523	7.22993e-08	0.000000000000278513	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	148	0.148	1.20482e-07	0.000120482	0.00000000000045354	7.30321e-08	0.000000000000281492	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	149	0.149	1.19825e-07	0.000119825	0.000000000000450554	7.37655e-08	0.000000000000284476	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	150	0.15	1.19167e-07	0.000119167	0.000000000000447565	7.44994e-08	0.000000000000287466	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	151	0.151	1.18508e-07	0.000118508	0.000000000000444574	7.52337e-08	0.000000000000290459	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	152	0.152	1.17848e-07	0.000117848	0.000000000000441581	7.59683e-08	0.000000000000293457	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	153	0.153	1.17187e-07	0.000117187	0.000000000000438585	7.67034e-08	0.000000000000296459	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	154	0.154	1.16525e-07	0.000116525	0.000000000000435588	7.74388e-08	0.000000000000299465	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	155	0.155	1.15862e-07	0.000115862	0.000000000000432588	7.81745e-08	0.000000000000302475	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	156	0.156	1.15198e-07	0.000115198	0.000000000000429586	7.89103e-08	0.000000000000305488	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	157	0.157	1.14534e-07	0.000114534	0.000000000000426583	7.96464e-08	0.000000000000308505	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	158	0.158	1.13868e-07	0.000113868	0.000000000000423578	8.03827e-08	0.000000000000311526	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	159	0.159	1.13202e-07	0.000113202	0.000000000000420571	8.1119e-08	0.000000000000314549	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	160	0.16	1.12534e-07	0.000112534	0.000000000000417563	8.18555e-08	0.000000000000317576	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	161	0.161	1.11866e-07	0.000111866	0.000000000000414554	8.25919e-08	0.000000000000320605	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	162	0.162	1.11198e-07	0.000111198	0.000000000000411545	8.33284e-08	0.000000000000323638	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	163	0.163	1.10528e-07	0.000110528	0.000000000000408534	8.40649e-08	0.000000000000326673	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	164	0.164	1.09858e-07	0.000109858	0.000000000000405522	8.48012e-08	0.000000000000329709	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	165	0.165	1.09187e-07	0.000109187	0.00000000000040251	8.55375e-08	0.000000000000332749	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	166	0.166	1.08515e-07	0.000108515	0.000000000000399498	8.62735e-08	0.00000000000033579	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	167	0.167	1.07843e-07	0.000107843	0.000000000000396485	8.70095e-08	0.000000000000338833	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	168	0.168	1.0717e-07	0.00010717	0.000000000000393472	8.77452e-08	0.000000000000341878	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	169	0.169	1.06496e-07	0.000106496	0.00000000000039046	8.84807e-08	0.000000000000344925	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	170	0.17	1.05822e-07	0.000105822	0.000000000000387447	8.92158e-08	0.000000000000347973	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	171	0.171	1.05147e-07	0.000105147	0.000000000000384435	8.99506e-08	0.000000000000351022	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	172	0.172	1.04472e-07	0.000104472	0.000000000000381423	9.06851e-08	0.000000000000354073	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	173	0.173	1.03796e-07	0.000103796	0.000000000000378412	9.14192e-08	0.000000000000357124	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	174	0.174	1.0312e-07	0.00010312	0.000000000000375401	9.21527e-08	0.000000000000360176	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	175	0.175	1.02443e-07	0.000102443	0.000000000000372392	9.28859e-08	0.000000000000363229	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	176	0.176	1.01766e-07	0.000101766	0.000000000000369384	9.36185e-08	0.000000000000366282	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	177	0.177	1.01089e-07	0.000101089	0.000000000000366377	9.43506e-08	0.000000000000369336	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	178	0.178	1.00411e-07	0.000100411	0.000000000000363371	9.50822e-08	0.00000000000037239	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	179	0.179	9.97325e-08	9.97325e-05	0.000000000000360367	9.58131e-08	0.000000000000375443	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	180	0.18	9.90539e-08	9.90539e-05	0.000000000000357365	9.65434e-08	0.000000000000378497	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	181	0.181	9.83751e-08	9.83751e-05	0.000000000000354365	9.72729e-08	0.00000000000038155	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	182	0.182	9.76959e-08	9.76959e-05	0.000000000000351367	9.80019e-08	0.000000000000384604	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	183	0.183	9.70166e-08	9.70166e-05	0.000000000000348371	9.873e-08	0.000000000000387656	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	184	0.184	9.6337e-08	9.6337e-05	0.000000000000345377	9.94574e-08	0.000000000000390708	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	185	0.185	9.56572e-08	9.56572e-05	0.000000000000342386	1.00184e-07	0.00000000000039376	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	186	0.186	9.49773e-08	9.49773e-05	0.000000000000339398	1.0091e-07	0.000000000000396809	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	187	0.187	9.42974e-08	9.42974e-05	0.000000000000336413	1.01635e-07	0.000000000000399859	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	188	0.188	9.36171e-08	9.36171e-05	0.000000000000333431	1.02359e-07	0.000000000000402906	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	189	0.189	9.2937e-08	9.2937e-05	0.000000000000330452	1.03082e-07	0.000000000000405953	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	190	0.19	9.22567e-08	9.22567e-05	0.000000000000327477	1.03804e-07	0.000000000000408997	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	191	0.191	9.15765e-08	9.15765e-05	0.000000000000324505	1.04525e-07	0.000000000000412041	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	192	0.192	9.08963e-08	9.08963e-05	0.000000000000321537	1.05245e-07	0.000000000000415082	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	193	0.193	9.02162e-08	9.02162e-05	0.000000000000318573	1.05964e-07	0.000000000000418122	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	194	0.194	8.95361e-08	8.95361e-05	0.000000000000315612	1.06682e-07	0.000000000000421159	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	195	0.195	8.8856e-08	8.8856e-05	0.000000000000312656	1.07399e-07	0.000000000000424194	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	196	0.196	8.81762e-08	8.81762e-05	0.000000000000309705	1.08115e-07	0.000000000000427226	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	197	0.197	8.74966e-08	8.74966e-05	0.000000000000306758	1.0883e-07	0.000000000000430257	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	198	0.198	8.68171e-08	8.68171e-05	0.000000000000303816	1.09543e-07	0.000000000000433284	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	199	0.199	8.61378e-08	8.61378e-05	0.000000000000300879	1.10255e-07	0.000000000000436309	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	200	0.2	8.54589e-08	8.54589e-05	0.000000000000297948	1.10966e-07	0.000000000000439331	142.6836	Ru	IAEA LiveChart bin_beta Betashape
