nuclide	particle	radiation_code	shell	energy_keV	energy_MeV	yield_per_decay	intensity_percent	parent_energy_keV	decay	decay_percent	daughter	unc_energy_keV	unc_intensity_percent	source
I-131	electron	CE	N	358.1868	0.3581868	2.0538e-08	2.0538e-06	0	B-	100	Xe		0.0000007306705748146699	IAEA LiveChart decay_rads
I-131	electron	CE	O	358.37661	0.35837661	2.4939e-09	2.4939e-07	0	B-	100	Xe		0.00000008754304302598808	IAEA LiveChart decay_rads
I-131	electron	CE	L	359.0358	0.3590358	0.00243685	0.243685	0	B-	100	Xe		0.00466373097230372	IAEA LiveChart decay_rads
I-131	electron	CE	M	363.3403	0.3633403	0.000501225	0.0501225	0	B-	100	Xe		0.0008692982717722669	IAEA LiveChart decay_rads
I-131	electron	CE	N	364.2758	0.3642758	0.000102201	0.0102201	0	B-	100	Xe		0.00017484350647504758	IAEA LiveChart decay_rads
I-131	electron	CE	N+	364.2758	0.3642758	0.0001141815	0.01141815	0	B-	100	Xe		0.00019458760449140254	IAEA LiveChart decay_rads
I-131	electron	CE	O	364.46561	0.36446561	1.200495e-05	0.001200495	0	B-	100	Xe		0.000020439781652606395	IAEA LiveChart decay_rads
I-131	electron	CE	K	370.249	0.370249	8.245355e-06	0.0008245355	0	B-	100	Xe		0.00007530253231797719	IAEA LiveChart decay_rads
I-131	electron	CE	L	399.3608	0.3993608	1.146705e-06	0.0001146705	0	B-	100	Xe		0.000004120991493560742	IAEA LiveChart decay_rads
I-131	electron	CE	M	403.6653	0.4036653	2.3425545e-07	2.3425545e-05	0	B-	100	Xe		0.0000009329624660992531	IAEA LiveChart decay_rads
I-131	electron	CE	N+	404.6008	0.4046008	5.394974e-08	5.394974e-06	0	B-	100	Xe		0.00000018880619150930935	IAEA LiveChart decay_rads
I-131	electron	CE	N	404.6008	0.4046008	4.8107005e-08	4.8107005e-06	0	B-	100	Xe		0.00000017352232912077916	IAEA LiveChart decay_rads
I-131	electron	CE	O	404.79061	0.40479061	5.853656e-09	5.853656e-07	0	B-	100	Xe		0.000000022135258784120864	IAEA LiveChart decay_rads
I-131	electron	CE	K	468.439	0.468439	2.659671e-05	0.002659671	0	B-	100	Xe		0.00032478195311200713	IAEA LiveChart decay_rads
I-131	electron	CE	L	497.5508	0.4975508	3.89246445e-06	0.000389246445	0	B-	100	Xe		0.000007158035427840868	IAEA LiveChart decay_rads
I-131	electron	CE	M	501.8553	0.5018553	7.9430715e-07	7.9430715e-05	0	B-	100	Xe		0.0000013853306661768518	IAEA LiveChart decay_rads
I-131	electron	CE	N	502.7908	0.5027908	1.62814995e-07	1.62814995e-05	0	B-	100	Xe		0.0000003083567483556992	IAEA LiveChart decay_rads
I-131	electron	CE	N+	502.7908	0.5027908	1.8258282e-07	1.8258282e-05	0	B-	100	Xe		0.0000003502110747592086	IAEA LiveChart decay_rads
I-131	electron	CE	O	502.98061	0.50298061	1.9552176e-08	1.9552176e-06	0	B-	100	Xe		0.000000035848853212341394	IAEA LiveChart decay_rads
I-131	electron	CE	K	602.424	0.602424	0.0003005394	0.03005394	0	B-	100	Xe		0.0021872664788269397	IAEA LiveChart decay_rads
I-131	electron	CE	K	608.154	0.608154	8.498168e-06	0.0008498168	0	B-	100	Xe		0.000021249535423627502	IAEA LiveChart decay_rads
I-131	electron	CE	L	631.5358	0.6315358	3.9427907e-05	0.0039427907	0	B-	100	Xe		0.00007938664894484777	IAEA LiveChart decay_rads
I-131	electron	CE	M	635.8403	0.6358403	8.0358511e-06	0.00080358511	0	B-	100	Xe		0.000016023277928948402	IAEA LiveChart decay_rads
I-131	electron	CE	N+	636.7758	0.6367758	1.8533263e-06	0.00018533263	0	B-	100	Xe		0.000003857048182577578	IAEA LiveChart decay_rads
I-131	electron	CE	N	636.7758	0.6367758	1.6529667e-06	0.00016529667	0	B-	100	Xe		0.0000036755563203037714	IAEA LiveChart decay_rads
I-131	electron	CE	O	636.96561	0.63696561	2.0107517e-07	2.0107517e-05	0	B-	100	Xe		0.000000400756576786021	IAEA LiveChart decay_rads
I-131	electron	CE	L	637.2658	0.6372658	1.1663302e-06	0.00011663302	0	B-	100	Xe		0.0000028855262737497297	IAEA LiveChart decay_rads
I-131	electron	CE	M	641.5703	0.6415703	2.3760184e-07	2.3760184e-05	0	B-	100	Xe		0.0000005839797673892479	IAEA LiveChart decay_rads
I-131	electron	CE	N+	642.5058	0.6425058	5.484787e-08	5.484787e-06	0	B-	100	Xe		0.00000013885609227992123	IAEA LiveChart decay_rads
I-131	electron	CE	N	642.5058	0.6425058	4.877775e-08	4.877775e-06	0	B-	100	Xe		0.00000012969875842601577	IAEA LiveChart decay_rads
I-131	electron	CE	O	642.69561	0.64269561	5.940046e-09	5.940046e-07	0	B-	100	Xe		0.000000014599494184731196	IAEA LiveChart decay_rads
I-131	electron	CE	K	688.346	0.688346	6.72049e-05	0.00672049	0	B-	100	Xe		0.0005402142169778578	IAEA LiveChart decay_rads
I-131	electron	CE	L	717.4578	0.7174578	8.665895e-06	0.0008665895	0	B-	100	Xe		0.00001786026638535968	IAEA LiveChart decay_rads
I-131	electron	CE	M	721.7623	0.7217623	1.74555885e-06	0.000174555885	0	B-	100	Xe		0.0000036195096599056064	IAEA LiveChart decay_rads
I-131	electron	CE	N	722.6978	0.7226978	3.6149162e-07	3.6149162e-05	0	B-	100	Xe		0.0000007496580201400168	IAEA LiveChart decay_rads
I-131	electron	CE	O	722.88761	0.72288761	4.5451735e-08	4.5451735e-06	0	B-	100	Xe		0.00000009864279819885484	IAEA LiveChart decay_rads
